Time [s],SCL,SDA
0.000000,1,1
0.000005,1,0
0.000010,0,0
0.000011,0,1
0.000015,1,1
0.000020,0,1
0.000021,0,0
0.000025,1,0
0.000030,0,0
0.000035,1,0
0.000040,0,0
0.000041,0,1
0.000045,1,1
0.000050,0,1
0.000051,0,0
0.000055,1,0
0.000060,0,0
0.000065,1,0
0.000070,0,0
0.000075,1,0
0.000080,0,0
0.000085,1,0
0.000090,0,0
0.000095,1,0
0.000100,0,0
0.000105,1,0
0.000110,0,0
0.000115,1,0
0.000120,0,0
0.000125,1,0
0.000130,0,0
0.000135,1,0
0.000140,0,0
0.000145,1,0
0.000150,0,0
0.000155,1,0
0.000160,0,0
0.000165,1,0
0.000170,0,0
0.000175,1,0
0.000180,0,0
0.000185,1,0
0.000190,0,0
0.000195,1,0
0.000197,1,1
