Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.000100,0,0x58,,Write,ACK
0.000125,0,,0x00,Write,ACK
0.000150,0,,0x00,Write,ACK
0.000200,1,0x58,,Write,ACK
0.000225,1,,0x01,Write,ACK
0.000250,1,,0x80,Write,ACK
0.000300,2,0x58,,Write,ACK
0.000325,2,,0x20,Write,ACK
0.000350,2,,0x17,Write,ACK
0.000400,3,0x58,,Write,ACK
0.000425,3,,0x88,Write,ACK
0.000450,4,0x58,,Read,ACK
0.000475,4,,0x00,Read,ACK
0.000500,4,,0xE2,Read,NAK
0.000600,5,0x58,,Write,ACK
0.000625,5,,0x8B,Write,ACK
0.000650,6,0x58,,Read,ACK
0.000675,6,,0x1A,Read,ACK
0.000700,6,,0x02,Read,NAK
0.000800,7,0x58,,Write,ACK
0.000825,7,,0x8D,Write,ACK
0.000850,8,0x58,,Read,ACK
0.000875,8,,0xE0,Read,ACK
0.000900,8,,0xE2,Read,NAK
0.001000,9,0x58,,Write,ACK
0.001025,9,,0x79,Write,ACK
0.001050,10,0x58,,Read,ACK
0.001075,10,,0x00,Read,ACK
0.001100,10,,0x00,Read,NAK
0.001500,11,0x50,,Write,ACK
0.001525,11,,0x00,Write,ACK
0.001550,11,,0x55,Write,ACK
0.001575,11,,0xAA,Write,ACK
0.001600,11,,0x12,Write,ACK
0.001625,11,,0x34,Write,ACK
0.002000,12,0x50,,Write,ACK
0.002025,12,,0x00,Write,ACK
0.002050,13,0x50,,Read,ACK
0.002075,13,,0x55,Read,ACK
0.002100,13,,0xAA,Read,ACK
0.002125,13,,0x12,Read,ACK
0.002150,13,,0x34,Read,NAK
0.002500,14,0x48,,Write,ACK
0.002525,14,,0x00,Write,ACK
0.002550,15,0x48,,Read,ACK
0.002575,15,,0x19,Read,ACK
0.002600,15,,0x20,Read,NAK
0.003000,16,0x20,,Write,ACK
0.003025,16,,0x06,Write,ACK
0.003050,16,,0x00,Write,ACK
0.003100,17,0x20,,Write,ACK
0.003125,17,,0x02,Write,ACK
0.003150,17,,0xA5,Write,ACK
